Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
seeds,2,Heuristic (FhS),0.4,67,0.0,10,3,7.638930082321167,4
seeds,2,Heuristic (FhS),0.6,100,0.0,10,3,23.89972186088562,4
seeds,2,Heuristic (FhS),0.8,134,0.0,10,2,33.02072501182556,2
seeds,2,Heuristic (FhS) with shifts,0.0,3,0.0,0,0,4.52814793586731,9
seeds,2,Heuristic (FhS) with shifts,0.2,33,0.0,10,3,8.740731954574585,8
seeds,2,Heuristic (FhS) with shifts,0.4,67,0.0,10,3,7.641154050827026,4
seeds,2,Heuristic (FhS) with shifts,0.6,100,0.0,10,3,24.04982590675354,4
seeds,2,Heuristic (FhS) with shifts,0.8,134,0.0,10,2,33.11743497848511,2
seeds,2,Exact (FeS),0.0,3,1.2658219836569904,10,3,119.9003050327301,11
seeds,2,Exact (FeS),0.2,33,0.0,10,2,70.26922917366028,7
seeds,2,Exact (FeS),0.4,67,0.0,10,2,32.52588605880737,3
seeds,2,Exact (FeS),0.6,100,0.0,10,3,64.0601909160614,3
seeds,2,Exact (FeS),0.8,134,0.0,10,3,57.08455181121826,2
seeds,3,Univariate,0.0,3,0.0,62,23,0.025106191635131836,1
seeds,3,Univariate,0.2,33,0.0,30,9,6.059884786605835,1
seeds,3,Univariate,0.4,67,0.0,6,3,13.21038293838501,1
seeds,3,Univariate,0.6,100,3.6892470319050465,6,2,120.02762699127197,1
seeds,3,Univariate,0.8,134,2.4390229030348154,4,2,120.10593795776367,1
seeds,3,Univariate,1.0,168,4.347823386445102,7,4,120.04404997825623,1
seeds,3,Heuristic (FhS),0.0,3,1.2048185513141256,11,2,120.13088798522949,6
seeds,3,Heuristic (FhS),0.2,33,1.2048185513141256,12,3,120.054762840271,4
seeds,3,Heuristic (FhS),0.4,67,NaN,12,3,120.00535702705383,17
seeds,3,Heuristic (FhS),0.6,100,1.8181807162541113,7,1,120.04454398155212,1
seeds,3,Heuristic (FhS),0.8,134,4.999996875001953,8,2,120.08835887908936,1
seeds,3,Heuristic (FhS) with shifts,0.0,3,NaN,0,0,120.01078081130981,7
seeds,3,Heuristic (FhS) with shifts,0.2,33,NaN,12,3,120.0072431564331,6
seeds,3,Heuristic (FhS) with shifts,0.4,67,NaN,0,0,120.02920389175415,19
seeds,3,Heuristic (FhS) with shifts,0.6,100,1.8181807162541113,7,1,120.07129502296448,1
seeds,3,Heuristic (FhS) with shifts,0.8,134,4.999996875001953,8,2,120.08021402359009,1
seeds,3,Exact (FeS),0.0,3,1.2048185513141256,13,3,120.1385190486908,5
seeds,3,Exact (FeS),0.2,33,1.2048185513141256,10,4,120.2121160030365,4
seeds,3,Exact (FeS),0.4,67,1.2048185513141256,20,3,120.07902121543884,1
seeds,3,Exact (FeS),0.6,100,2.4390229030348154,9,2,120.2109739780426,1
seeds,3,Exact (FeS),0.8,134,5.660373798507045,10,4,120.07585287094116,1
seeds,4,Univariate,0.0,3,0.0,62,23,0.11478304862976074,1
seeds,4,Univariate,0.2,33,0.0,28,6,9.219911098480225,1
seeds,4,Univariate,0.4,67,1.8514469773687723,4,3,120.04440903663635,1
seeds,4,Univariate,0.6,100,2.4390229030348154,5,4,120.06697511672974,1
seeds,4,Univariate,0.8,134,7.692302761344384,12,3,120.06397700309753,1
seeds,4,Univariate,1.0,168,3.0674827806854106,5,4,120.11437106132507,1
seeds,4,Heuristic (FhS),0.0,3,3.0674827806854106,11,5,120.37701797485352,7
seeds,4,Heuristic (FhS),0.2,33,0.598802036645487,8,6,120.40018701553345,4
seeds,4,Heuristic (FhS),0.4,67,1.8181807162541113,8,2,120.41255903244019,3
seeds,4,Heuristic (FhS),0.6,100,1.2048185513141256,5,1,120.14404702186584,1
seeds,4,Heuristic (FhS),0.8,134,4.347823386445102,8,2,120.47162795066833,1
seeds,4,Heuristic (FhS) with shifts,0.0,3,3.0674827806854106,11,5,120.17408204078674,7
seeds,4,Heuristic (FhS) with shifts,0.2,33,NaN,8,6,120.00376415252686,5
seeds,4,Heuristic (FhS) with shifts,0.4,67,2.4390229030348154,9,2,120.57517790794373,3
seeds,4,Heuristic (FhS) with shifts,0.6,100,1.2048185513141256,1,0,120.52412700653076,1
seeds,4,Heuristic (FhS) with shifts,0.8,134,4.347823386445102,8,2,120.16802287101746,1
seeds,4,Exact (FeS),0.0,3,1.2048185513141256,8,3,120.31120109558105,6
seeds,4,Exact (FeS),0.2,33,6.329109918284861,9,4,120.40305280685425,4
seeds,4,Exact (FeS),0.4,67,NaN,11,3,120.01802802085876,7
seeds,4,Exact (FeS),0.6,100,NaN,14,2,120.05962991714478,3
seeds,4,Exact (FeS),0.8,134,4.999996875001953,17,4,120.22994184494019,1
wine,2,Univariate,0.0,3,0.0,57,15,0.023460865020751953,1
wine,2,Univariate,0.2,28,0.0,19,8,0.3153841495513916,1
wine,2,Univariate,0.4,56,0.0,8,3,0.5138969421386719,1
wine,2,Univariate,0.6,85,0.0,5,2,4.630661964416504,1
wine,2,Univariate,0.8,113,0.0,6,2,16.643916845321655,1
wine,2,Univariate,1.0,142,0.0,5,2,29.61359190940857,1
wine,2,Heuristic (FhS),0.0,3,0.0,5,2,12.760272979736328,9
wine,2,Heuristic (FhS),0.2,28,0.0,5,2,20.5446879863739,10
wine,2,Heuristic (FhS),0.4,56,0.0,5,2,17.617932081222534,6
wine,2,Heuristic (FhS),0.6,85,0.0,5,2,26.80093812942505,4
wine,2,Heuristic (FhS),0.8,113,0.0,5,2,43.8711838722229,3
wine,2,Heuristic (FhS) with shifts,0.0,3,0.0,5,2,13.145776987075806,9
wine,2,Heuristic (FhS) with shifts,0.2,28,0.0,5,2,19.993178844451904,10
wine,2,Heuristic (FhS) with shifts,0.4,56,0.0,5,2,17.594758987426758,6
wine,2,Heuristic (FhS) with shifts,0.6,85,0.0,5,2,26.72955012321472,4
wine,2,Heuristic (FhS) with shifts,0.8,113,0.0,5,2,43.17559599876404,3
wine,2,Exact (FeS),0.0,3,0.0,5,2,71.6257688999176,9
wine,2,Exact (FeS),0.2,28,0.0,5,2,55.25570583343506,9
wine,2,Exact (FeS),0.4,56,0.0,5,2,91.17761492729187,8
wine,2,Exact (FeS),0.6,85,0.0,5,2,88.70142006874084,5
wine,2,Exact (FeS),0.8,113,0.0,5,2,41.369961977005005,2
wine,3,Univariate,0.0,3,0.0,57,15,0.1378638744354248,1
wine,3,Univariate,0.2,28,0.0,27,10,2.779431104660034,1
wine,3,Univariate,0.4,56,0.0,2,3,10.676455974578857,1
wine,3,Univariate,0.6,85,0.0,2,1,19.10725998878479,1
wine,3,Univariate,0.8,113,0.0,0,4,74.12931394577026,1
wine,3,Univariate,1.0,142,0.0,0,3,112.46838212013245,1
wine,3,Heuristic (FhS),0.0,3,NaN,2,3,120.01816511154175,18
wine,3,Heuristic (FhS),0.2,28,0.0,0,2,71.57343411445618,7
wine,3,Heuristic (FhS),0.4,56,3.649632372531115,5,3,120.10951900482178,9
wine,3,Heuristic (FhS),0.6,85,NaN,4,4,120.04041481018066,11
wine,3,Heuristic (FhS),0.8,113,NaN,5,5,120.0085802078247,6
wine,3,Heuristic (FhS) with shifts,0.0,3,NaN,0,1,120.01756000518799,16
wine,3,Heuristic (FhS) with shifts,0.2,28,0.0,0,2,72.46896600723267,7
wine,3,Heuristic (FhS) with shifts,0.4,56,3.649632372531115,2,2,120.3303120136261,9
wine,3,Heuristic (FhS) with shifts,0.6,85,NaN,2,0,120.00628304481506,8
wine,3,Heuristic (FhS) with shifts,0.8,113,2.158271828581418,0,0,120.4226291179657,5
wine,3,Exact (FeS),0.0,3,2.158271828581418,3,3,120.21483397483826,9
wine,3,Exact (FeS),0.2,28,1.428570408163994,2,4,119.88347387313843,9
wine,3,Exact (FeS),0.4,56,NaN,11,5,120.01823091506958,13
wine,3,Exact (FeS),0.6,85,NaN,11,6,120.02280497550964,8
wine,3,Exact (FeS),0.8,113,NaN,2,4,120.0072078704834,10
wine,4,Univariate,0.0,3,0.0,58,15,0.048300981521606445,1
wine,4,Univariate,0.2,28,0.0,10,7,7.134213924407959,1
wine,4,Univariate,0.4,56,0.0,2,2,41.1935019493103,1
wine,4,Univariate,0.6,85,0.0,0,2,43.67367386817932,1
wine,4,Univariate,0.8,113,0.0,0,2,78.53792595863342,1
wine,4,Univariate,1.0,142,4.4117614619401015,6,4,120.09860014915466,1
wine,4,Heuristic (FhS),0.0,3,NaN,40,11,120.09623980522156,8
wine,4,Heuristic (FhS),0.2,28,2.8985486242401275,7,3,120.38733983039856,8
wine,4,Heuristic (FhS),0.4,56,2.158271828581418,5,3,120.42785501480103,5
wine,4,Heuristic (FhS),0.6,85,75.30854900179135,40,11,120.25888681411743,5
wine,4,Heuristic (FhS),0.8,113,1.428570408163994,6,6,120.15475797653198,2
wine,4,Heuristic (FhS) with shifts,0.0,3,NaN,0,0,120.04480409622192,10
wine,4,Heuristic (FhS) with shifts,0.2,28,2.8985486242401275,0,0,120.64139986038208,8
wine,4,Heuristic (FhS) with shifts,0.4,56,NaN,5,3,120.07358121871948,6
wine,4,Heuristic (FhS) with shifts,0.6,85,10.07751156782049,0,0,120.51708507537842,5
wine,4,Heuristic (FhS) with shifts,0.8,113,1.428570408163994,6,6,120.50009107589722,2
wine,4,Exact (FeS),0.0,3,0.7092193551635779,4,4,120.22393989562988,6
wine,4,Exact (FeS),0.2,28,NaN,7,0,120.04091596603394,7
wine,4,Exact (FeS),0.4,56,1.428570408163994,13,3,120.17551803588867,5
wine,4,Exact (FeS),0.6,85,NaN,5,2,120.10525608062744,6
wine,4,Exact (FeS),0.8,113,5.970144798399404,21,3,120.05041599273682,2
breast_cancer_,2,Univariate,0.0,2,0.0,173,45,0.017428874969482422,1
breast_cancer_,2,Univariate,0.2,91,0.0,26,7,6.518301963806152,1
breast_cancer_,2,Univariate,0.4,182,0.0,21,7,29.534149885177612,1
breast_cancer_,2,Univariate,0.6,273,3.462530073024286,22,5,120.1006510257721,1
breast_cancer_,2,Univariate,0.8,364,4.061002351686929,18,5,120.34357500076294,1
breast_cancer_,2,Univariate,1.0,455,4.1189921924503,18,6,120.06337118148804,1
breast_cancer_,2,Heuristic (FhS),0.0,2,1.3165493495778577,27,4,120.39280819892883,6
breast_cancer_,2,Heuristic (FhS),0.2,91,NaN,31,7,120.04959893226624,11
breast_cancer_,2,Heuristic (FhS),0.4,182,1.5624996512277565,31,9,120.10531091690063,1
breast_cancer_,2,Heuristic (FhS),0.6,273,3.409090134297697,39,11,120.1699869632721,1
breast_cancer_,2,Heuristic (FhS),0.8,364,4.357797165642852,22,6,120.58278203010559,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.0,2,NaN,27,4,120.52509617805481,11
breast_cancer_,2,Heuristic (FhS) with shifts,0.2,91,NaN,31,7,120.05783700942993,8
breast_cancer_,2,Heuristic (FhS) with shifts,0.4,182,1.5624996512277565,31,9,120.54856586456299,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.6,273,3.409090134297697,39,11,120.5704140663147,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.8,364,4.357797165642852,22,6,120.62024593353271,1
breast_cancer_,2,Exact (FeS),0.0,2,1.3363025977123884,78,18,120.31975102424622,7
breast_cancer_,2,Exact (FeS),0.2,91,0.6637166673193214,137,33,120.06506896018982,2
breast_cancer_,2,Exact (FeS),0.4,182,1.3363025977054348,29,9,120.12417697906494,1
breast_cancer_,2,Exact (FeS),0.6,273,3.1746024547417577,43,8,120.19212794303894,1
breast_cancer_,2,Exact (FeS),0.8,364,3.881277652676335,20,8,120.25769805908203,1
breast_cancer_,3,Univariate,0.0,2,0.0,356,90,0.024315834045410156,1
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,54.635066986083984,1
breast_cancer_,3,Univariate,0.4,182,15.176684778947978,25,7,120.08577179908752,1
breast_cancer_,3,Univariate,0.6,273,5.08083023537408,21,11,120.0953049659729,1
breast_cancer_,3,Univariate,0.8,364,6.807510139082128,22,8,120.14876914024353,1
breast_cancer_,3,Univariate,1.0,455,5.568444183655642,24,13,120.1992928981781,1
breast_cancer_,3,Heuristic (FhS),0.0,2,NaN,22,7,121.00955200195312,7
breast_cancer_,3,Heuristic (FhS),0.2,91,1.3363025977054348,24,11,120.58125305175781,3
breast_cancer_,3,Heuristic (FhS),0.4,182,1.3363025977054348,32,8,120.21694612503052,1
breast_cancer_,3,Heuristic (FhS),0.6,273,3.409090134297697,35,12,120.74265694618225,1
breast_cancer_,3,Heuristic (FhS),0.8,364,4.597700092482738,19,6,120.8164610862732,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.0,2,1.1111108641975858,0,0,120.5330069065094,6
breast_cancer_,3,Heuristic (FhS) with shifts,0.2,91,1.3363025977054348,24,11,120.06386208534241,3
breast_cancer_,3,Heuristic (FhS) with shifts,0.4,182,1.3363025977054348,0,0,120.1399359703064,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.6,273,3.409090134297697,35,12,120.4407250881195,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.8,364,4.597700092482738,19,6,120.79394793510437,1
breast_cancer_,3,Exact (FeS),0.0,2,3.1746024547386726,49,14,120.55886912345886,6
breast_cancer_,3,Exact (FeS),0.2,91,NaN,48,19,120.05670619010925,4
breast_cancer_,3,Exact (FeS),0.4,182,1.3363025977059224,31,12,120.26994800567627,1
breast_cancer_,3,Exact (FeS),0.6,273,1.7897087718772324,27,16,120.69396805763245,1
breast_cancer_,3,Exact (FeS),0.8,364,4.1189921924503,23,7,121.04367208480835,1
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.03458094596862793,1
breast_cancer_,4,Univariate,0.2,91,32.26743248039754,34,13,120.06837677955627,1
breast_cancer_,4,Univariate,0.4,182,17.875643037398177,32,9,120.16539216041565,1
breast_cancer_,4,Univariate,0.6,273,7.058821868512502,27,9,120.20539999008179,1
breast_cancer_,4,Univariate,0.8,364,4.838708562509548,14,6,120.25962901115417,1
breast_cancer_,4,Univariate,1.0,455,7.311319030349286,27,11,120.77124404907227,1
breast_cancer_,4,Heuristic (FhS),0.0,2,0.8869177634328684,61,17,120.35941910743713,6
breast_cancer_,4,Heuristic (FhS),0.2,91,NaN,34,10,120.13682985305786,4
breast_cancer_,4,Heuristic (FhS),0.4,182,1.3363025977054348,38,11,120.26357197761536,1
breast_cancer_,4,Heuristic (FhS),0.6,273,2.2471905062493245,57,21,120.82248401641846,1
breast_cancer_,4,Heuristic (FhS),0.8,364,7.058821868512502,31,10,121.36255884170532,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.0,2,1.3363025977054348,29,7,120.77483892440796,6
breast_cancer_,4,Heuristic (FhS) with shifts,0.2,91,NaN,34,10,120.0896508693695,3
breast_cancer_,4,Heuristic (FhS) with shifts,0.4,182,1.3363025977054348,38,11,120.55908489227295,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.6,273,2.2471905062493245,57,21,121.13190984725952,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.8,364,7.058821868512502,8,3,121.09680700302124,1
breast_cancer_,4,Exact (FeS),0.0,2,7.565010031912522,36,11,120.48036098480225,6
breast_cancer_,4,Exact (FeS),0.2,91,0.6637166673193214,81,19,120.72760701179504,2
breast_cancer_,4,Exact (FeS),0.4,182,2.708803000270203,30,8,120.42984700202942,1
breast_cancer_,4,Exact (FeS),0.6,273,3.409090134297697,41,7,120.50531315803528,1
breast_cancer_,4,Exact (FeS),0.8,364,6.060604647877705,32,8,121.11746001243591,1
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.05344390869140625,1
ecoli_,2,Univariate,0.2,53,0.0,67,20,0.778425931930542,1
ecoli_,2,Univariate,0.4,107,0.0,50,16,1.8895881175994873,1
ecoli_,2,Univariate,0.6,160,0.0,48,15,5.307955026626587,1
ecoli_,2,Univariate,0.8,214,0.0,47,15,6.733831167221069,1
ecoli_,2,Univariate,1.0,268,0.0,47,15,88.47632598876953,1
ecoli_,2,Heuristic (FhS),0.0,8,0.0,47,15,10.67645788192749,9
ecoli_,2,Heuristic (FhS),0.2,53,0.0,48,15,40.82057595252991,8
ecoli_,2,Heuristic (FhS),0.4,107,0.0,47,15,35.5110239982605,5
ecoli_,2,Heuristic (FhS),0.6,160,0.0,47,15,17.17661190032959,3
ecoli_,2,Heuristic (FhS),0.8,214,0.0,47,15,19.357269048690796,2
ecoli_,2,Heuristic (FhS) with shifts,0.0,8,0.0,47,15,10.541301012039185,9
ecoli_,2,Heuristic (FhS) with shifts,0.2,53,0.0,48,15,40.29647493362427,8
ecoli_,2,Heuristic (FhS) with shifts,0.4,107,0.0,47,15,35.569461822509766,5
ecoli_,2,Heuristic (FhS) with shifts,0.6,160,0.0,47,15,16.740909099578857,3
ecoli_,2,Heuristic (FhS) with shifts,0.8,214,0.0,47,15,19.168188095092773,2
ecoli_,2,Exact (FeS),0.0,8,1.7223263911774052,83,21,120.47881388664246,5
ecoli_,2,Exact (FeS),0.2,53,NaN,48,15,120.00173091888428,19
ecoli_,2,Exact (FeS),0.4,107,4.706973420050345,75,17,120.05752491950989,2
ecoli_,2,Exact (FeS),0.6,160,NaN,49,17,120.001216173172,14
ecoli_,2,Exact (FeS),0.8,214,0.0,47,15,104.97700190544128,2
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.2382190227508545,1
ecoli_,3,Univariate,0.2,53,0.0,74,23,20.88028883934021,1
ecoli_,3,Univariate,0.4,107,1.155454490672878,37,12,120.03297591209412,1
ecoli_,3,Univariate,0.6,160,17.066659081484868,42,14,120.04658603668213,1
ecoli_,3,Univariate,0.8,214,19.111102617287724,42,11,120.10330700874329,1
ecoli_,3,Univariate,1.0,268,15.517234690847117,36,12,120.38524603843689,1
ecoli_,3,Heuristic (FhS),0.0,8,3.384028129571682,42,12,120.49263000488281,3
ecoli_,3,Heuristic (FhS),0.2,53,3.4196332274211785,87,29,120.0440468788147,1
ecoli_,3,Heuristic (FhS),0.4,107,13.698969741967186,56,16,120.04535913467407,1
ecoli_,3,Heuristic (FhS),0.6,160,14.042547215937354,36,11,120.07965779304504,1
ecoli_,3,Heuristic (FhS),0.8,214,14.529908320552,35,10,120.1231119632721,1
ecoli_,3,Heuristic (FhS) with shifts,0.0,8,3.949787122350484,42,12,121.58172106742859,3
ecoli_,3,Heuristic (FhS) with shifts,0.2,53,3.1126469910486203,0,0,120.03502798080444,1
