Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
wine,2,Multivariate,0.2,28,0.0,102,28,0.22796893119812012
wine,2,Multivariate,0.4,56,0.0,96,23,0.2674591541290283
wine,2,Multivariate,0.6,86,0.0,86,21,0.263124942779541
wine,2,Multivariate,0.8,114,0.0,102,28,0.32425999641418457
wine,2,Multivariate,1.0,142,0.0,96,23,0.3562638759613037
wine,3,Univariate,0.0,3,0.0,56,15,0.06764698028564453
wine,3,Univariate,0.2,28,8.474569089348229,9,3,10.009997844696045
wine,3,Univariate,0.4,56,10.07751156782049,11,3,10.016917943954468
wine,3,Univariate,0.6,86,12.698402620315381,7,3,10.033635139465332
wine,3,Univariate,0.8,114,12.698402620315381,7,5,10.030311822891235
wine,3,Univariate,1.0,142,6.766912205329168,7,4,10.035278081893921
wine,3,Multivariate,0.0,3,0.0,86,21,0.10289812088012695
wine,3,Multivariate,0.2,28,0.0,96,23,0.5371840000152588
wine,3,Multivariate,0.4,56,0.0,86,21,0.7111608982086182
wine,3,Multivariate,0.6,86,0.0,102,28,1.092332124710083
wine,3,Multivariate,0.8,114,0.0,96,23,0.25272297859191895
wine,3,Multivariate,1.0,142,0.0,96,23,1.5683929920196533
wine,4,Univariate,0.0,3,0.0,57,15,0.06409311294555664
wine,4,Univariate,0.2,28,29.09088264465214,7,4,10.016422986984253
wine,4,Univariate,0.4,56,25.66369410292557,22,5,10.032832145690918
wine,4,Univariate,0.6,86,15.447141912892754,18,3,10.048535108566284
wine,4,Univariate,0.8,114,9.230762130182976,10,2,10.064263105392456
wine,4,Univariate,1.0,142,10.9374914550848,13,5,10.067212104797363
wine,4,Multivariate,0.0,3,0.0,96,23,0.20713090896606445
wine,4,Multivariate,0.2,28,0.0,96,23,1.7264981269836426
wine,4,Multivariate,0.4,56,0.0,86,21,2.0947680473327637
wine,4,Multivariate,0.6,86,0.0,96,23,5.696892976760864
wine,4,Multivariate,0.8,114,0.0,102,28,3.3052420616149902
wine,4,Multivariate,1.0,142,0.0,102,28,7.323760032653809
