Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,0.05624699592590332
iris,2,Univariate,0.2,24,0.0,5,1,0.08975601196289062
iris,2,Univariate,0.4,48,0.0,5,1,0.26674389839172363
iris,2,Univariate,0.6,72,0.0,5,1,0.4036099910736084
iris,2,Univariate,0.8,95,0.0,5,1,0.8979318141937256
iris,2,Univariate,1.0,118,0.0,5,1,1.8171792030334473
iris,2,Multivariate,0.0,3,0.0,82,18,0.07941913604736328
iris,2,Multivariate,0.2,24,0.0,82,18,0.23987507820129395
iris,2,Multivariate,0.4,48,0.0,82,18,0.5131909847259521
iris,2,Multivariate,0.6,72,0.0,82,18,0.6749670505523682
iris,2,Multivariate,0.8,95,0.0,82,18,0.9317550659179688
iris,2,Multivariate,1.0,118,0.0,82,18,1.001471996307373
iris,3,Univariate,0.0,3,0.0,38,12,0.017513036727905273
iris,3,Univariate,0.2,24,0.0,1,1,0.790902853012085
iris,3,Univariate,0.4,48,0.0,6,1,2.492666006088257
iris,3,Univariate,0.6,72,0.0,1,1,2.2823569774627686
iris,3,Univariate,0.8,95,0.840335428289556,1,1,10.058095932006836
iris,3,Univariate,1.0,118,0.0,0,1,4.43759298324585
iris,3,Multivariate,0.0,3,0.0,76,24,0.16106295585632324
iris,3,Multivariate,0.2,24,0.0,76,24,0.5979130268096924
iris,3,Multivariate,0.4,48,0.0,82,18,0.7002370357513428
iris,3,Multivariate,0.6,72,0.0,82,18,0.7836868762969971
iris,3,Multivariate,0.8,95,0.0,82,18,0.5349769592285156
iris,3,Multivariate,1.0,118,0.0,82,18,0.9508910179138184
iris,4,Univariate,0.0,3,0.0,38,12,0.027952909469604492
iris,4,Univariate,0.2,24,0.0,2,1,1.0280640125274658
iris,4,Univariate,0.4,48,0.0,2,1,1.6566441059112549
iris,4,Univariate,0.6,72,0.840335428289556,1,1,10.050433874130249
iris,4,Univariate,0.8,95,1.694913817869646,2,1,10.093902826309204
iris,4,Univariate,1.0,118,0.0,0,1,8.435372829437256
iris,4,Multivariate,0.0,3,0.0,82,18,0.4268341064453125
iris,4,Multivariate,0.2,24,0.0,82,18,4.548532962799072
iris,4,Multivariate,0.4,48,0.0,76,24,4.15884804725647
iris,4,Multivariate,0.6,72,0.0,82,18,4.331207990646362
iris,4,Multivariate,0.8,95,0.0,82,18,7.686901092529297
iris,4,Multivariate,1.0,118,0.0,76,24,5.6900269985198975
seeds,2,Univariate,0.0,3,0.0,54,17,0.014780044555664062
seeds,2,Univariate,0.2,34,0.0,19,3,0.4413299560546875
seeds,2,Univariate,0.4,68,0.0,12,3,1.376265048980713
seeds,2,Univariate,0.6,101,0.0,11,3,3.006840944290161
seeds,2,Univariate,0.8,135,8.101739789541492,15,3,10.020179033279419
seeds,2,Univariate,1.0,168,9.298524820603372,15,3,10.023165941238403
seeds,2,Multivariate,0.0,3,0.0,109,31,0.1449260711669922
seeds,2,Multivariate,0.2,34,0.0,115,25,0.9473309516906738
seeds,2,Multivariate,0.4,68,0.0,115,25,0.41875505447387695
seeds,2,Multivariate,0.6,101,0.0,112,28,0.9002869129180908
seeds,2,Multivariate,0.8,135,0.0,109,31,1.209528923034668
seeds,2,Multivariate,1.0,168,0.0,115,25,1.5715930461883545
seeds,3,Univariate,0.0,3,0.0,33,13,0.034043073654174805
seeds,3,Univariate,0.2,34,0.0,12,3,6.45374321937561
seeds,3,Univariate,0.4,68,10.526308864270483,10,4,10.01960802078247
seeds,3,Univariate,0.6,101,7.692302761344384,10,3,10.031902074813843
seeds,3,Univariate,0.8,135,9.090903187725203,13,3,10.03593111038208
seeds,3,Univariate,1.0,168,9.090903187725203,13,4,10.042307138442993
seeds,3,Multivariate,0.0,3,0.0,112,28,0.24382400512695312
seeds,3,Multivariate,0.2,34,0.0,109,31,0.724146842956543
seeds,3,Multivariate,0.4,68,0.0,109,31,1.3191890716552734
seeds,3,Multivariate,0.6,101,0.0,109,31,1.0424089431762695
seeds,3,Multivariate,0.8,135,0.0,112,28,3.206394910812378
seeds,3,Multivariate,1.0,168,0.0,112,28,3.3597018718719482
seeds,4,Univariate,0.0,3,0.0,54,17,0.033371925354003906
seeds,4,Univariate,0.2,34,13.698620754369328,18,4,10.017016887664795
seeds,4,Univariate,0.4,68,11.25827068988696,10,3,10.044846057891846
seeds,4,Univariate,0.6,101,16.666655092600628,16,4,10.062852144241333
seeds,4,Univariate,0.8,135,16.666655092600628,12,4,10.080940008163452
seeds,4,Univariate,1.0,168,9.803915160839765,14,6,10.072356939315796
seeds,4,Multivariate,0.0,3,0.0,112,28,0.8775930404663086
seeds,4,Multivariate,0.2,34,0.0,112,28,1.5026710033416748
seeds,4,Multivariate,0.4,68,1.2048185513141256,115,25,10.087898969650269
seeds,4,Multivariate,0.6,101,1.8181807162541113,115,25,10.07979702949524
seeds,4,Multivariate,0.8,135,11.25827068988696,109,31,10.099712133407593
seeds,4,Multivariate,1.0,168,7.006364964098749,109,31,10.080538034439087
wine,2,Univariate,0.0,3,0.0,57,15,0.017562150955200195
wine,2,Univariate,0.2,28,0.0,17,4,0.800137996673584
wine,2,Univariate,0.4,56,0.0,13,4,2.8325600624084473
wine,2,Univariate,0.6,86,4.888299895181139,8,5,10.012437105178833
wine,2,Univariate,0.8,114,10.065728115404285,8,3,10.01411509513855
wine,2,Univariate,1.0,142,5.185181344310116,7,3,10.019617080688477
wine,2,Multivariate,0.0,3,0.0,102,28,0.046118974685668945
wine,2,Multivariate,0.2,28,0.0,96,23,0.22104597091674805
wine,2,Multivariate,0.4,56,0.0,86,21,0.2847020626068115
wine,2,Multivariate,0.6,86,0.0,86,21,0.3845329284667969
wine,2,Multivariate,0.8,114,0.0,102,28,0.47248101234436035
wine,2,Multivariate,1.0,142,0.0,102,28,0.3666059970855713
wine,3,Univariate,0.0,3,0.0,56,15,0.023295879364013672
wine,3,Univariate,0.2,28,0.0,21,3,8.09390902519226
wine,3,Univariate,0.4,56,17.355357557555738,11,1,10.017741203308105
wine,3,Univariate,0.6,86,14.516117325711834,4,5,10.033483028411865
wine,3,Univariate,0.8,114,13.599989120008704,14,4,10.027266025543213
wine,3,Univariate,1.0,142,5.970144798399404,8,3,10.032430171966553
wine,3,Multivariate,0.0,3,0.0,86,21,0.10885405540466309
wine,3,Multivariate,0.2,28,0.0,102,28,0.5176951885223389
wine,3,Multivariate,0.4,56,0.0,86,21,1.1960220336914062
wine,3,Multivariate,0.6,86,0.0,86,21,0.21016311645507812
wine,3,Multivariate,0.8,114,0.0,102,28,1.051483154296875
wine,3,Multivariate,1.0,142,0.0,102,28,0.9515290260314941
wine,4,Univariate,0.0,3,0.0,57,15,0.0861361026763916
wine,4,Univariate,0.2,28,14.529902111194776,11,2,10.018854141235352
wine,4,Univariate,0.4,56,22.413773781229498,10,5,10.036813020706177
wine,4,Univariate,0.6,86,20.33896581443575,13,5,10.041712045669556
wine,4,Univariate,0.8,114,25.66369410292557,20,9,10.083986043930054
wine,4,Univariate,1.0,142,44.89791336947615,38,16,10.103624105453491
wine,4,Multivariate,0.0,3,0.0,96,23,0.20989513397216797
wine,4,Multivariate,0.2,28,0.0,86,21,3.1635539531707764
wine,4,Multivariate,0.4,56,0.0,96,23,2.020019054412842
wine,4,Multivariate,0.6,86,0.0,86,21,5.725150108337402
wine,4,Multivariate,0.8,114,0.0,102,28,5.077107906341553
wine,4,Multivariate,1.0,142,0.0,86,21,3.869767904281616
