Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
wine,2,Multivariate,0.6,85,0.0,96,23,0.10193395614624023
wine,2,Multivariate,0.8,113,0.0,86,21,0.3099210262298584
wine,2,Multivariate,1.0,142,0.0,102,28,0.3233668804168701
wine,3,Univariate,0.0,3,0.0,57,15,0.022449970245361328
wine,3,Univariate,0.2,28,0.0,27,10,2.6075520515441895
wine,3,Univariate,0.4,56,0.0,2,3,9.152759075164795
wine,3,Univariate,0.6,85,0.0,2,1,16.743448972702026
wine,3,Univariate,0.8,113,0.0,0,4,65.11123895645142
wine,3,Univariate,1.0,142,0.0,0,3,103.35097599029541
wine,3,Multivariate,0.0,3,0.0,86,21,0.09293699264526367
wine,3,Multivariate,0.2,28,0.0,96,23,0.8093390464782715
wine,3,Multivariate,0.4,56,0.0,102,28,0.6580169200897217
wine,3,Multivariate,0.6,85,0.0,102,28,0.8924739360809326
wine,3,Multivariate,0.8,113,0.0,102,28,1.1638610363006592
wine,3,Multivariate,1.0,142,0.0,86,21,1.6282970905303955
wine,4,Univariate,0.0,3,0.0,58,15,0.04861092567443848
wine,4,Univariate,0.2,28,0.0,10,7,6.197741985321045
wine,4,Univariate,0.4,56,0.0,2,2,36.49642896652222
wine,4,Univariate,0.6,85,0.0,0,2,38.6532027721405
wine,4,Univariate,0.8,113,0.0,0,2,72.328115940094
wine,4,Univariate,1.0,142,0.0,0,2,383.31776785850525
wine,4,Multivariate,0.0,3,0.0,96,23,0.20914697647094727
wine,4,Multivariate,0.2,28,0.0,96,23,1.601686954498291
wine,4,Multivariate,0.4,56,0.0,102,28,2.278006076812744
wine,4,Multivariate,0.6,85,0.0,102,28,3.3953678607940674
wine,4,Multivariate,0.8,113,0.0,96,23,3.008315086364746
wine,4,Multivariate,1.0,142,0.0,86,21,5.859266042709351
breast_cancer_,2,Univariate,0.0,2,0.0,173,45,0.022535085678100586
breast_cancer_,2,Univariate,0.2,91,0.0,26,7,8.890527963638306
breast_cancer_,2,Univariate,0.4,182,0.0,21,7,39.32455086708069
breast_cancer_,2,Univariate,0.6,273,0.0,22,5,565.0025589466095
breast_cancer_,2,Univariate,0.8,364,3.108497419739192,18,5,600.1043858528137
breast_cancer_,2,Univariate,1.0,455,4.1189921924503,18,6,600.0751881599426
breast_cancer_,2,Multivariate,0.0,2,0.0,169,43,0.22775912284851074
breast_cancer_,2,Multivariate,0.2,91,0.0,169,43,0.42510199546813965
breast_cancer_,2,Multivariate,0.4,182,0.0,169,43,0.5043790340423584
breast_cancer_,2,Multivariate,0.6,273,0.0,286,71,1.1790859699249268
breast_cancer_,2,Multivariate,0.8,364,0.0,169,43,2.85959792137146
breast_cancer_,2,Multivariate,1.0,455,0.0,286,71,8.274174928665161
breast_cancer_,3,Univariate,0.0,2,0.0,356,90,0.03942608833312988
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,46.45556592941284
breast_cancer_,3,Univariate,0.4,182,1.5151511325404052,23,7,600.072497844696
breast_cancer_,3,Univariate,0.6,273,3.4298053061499387,18,6,600.138463973999
breast_cancer_,3,Univariate,0.8,364,4.1189921924503,18,10,600.1495878696442
breast_cancer_,3,Univariate,1.0,455,3.8812776526752835,17,14,600.9159169197083
breast_cancer_,3,Multivariate,0.0,2,0.0,286,71,0.6531758308410645
breast_cancer_,3,Multivariate,0.2,91,0.0,169,43,0.8078908920288086
breast_cancer_,3,Multivariate,0.4,182,0.0,169,43,11.992764949798584
breast_cancer_,3,Multivariate,0.6,273,0.0,169,43,6.666161060333252
breast_cancer_,3,Multivariate,0.8,364,0.0,286,71,1.2527480125427246
breast_cancer_,3,Multivariate,1.0,455,0.0,286,71,17.228559017181396
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.045394182205200195
breast_cancer_,4,Univariate,0.2,91,1.1560690300379677,38,11,600.1114349365234
breast_cancer_,4,Univariate,0.4,182,15.18986957218492,31,14,602.8135268688202
breast_cancer_,4,Univariate,0.6,273,5.324072841649805,21,8,600.2164430618286
breast_cancer_,4,Univariate,0.8,364,2.2471905062493245,10,6,600.3150341510773
breast_cancer_,4,Univariate,1.0,455,1.3363025977054348,6,12,600.4114129543304
breast_cancer_,4,Multivariate,0.0,2,0.0,169,43,1.563943862915039
breast_cancer_,4,Multivariate,0.2,91,0.0,169,43,1.6246559619903564
breast_cancer_,4,Multivariate,0.4,182,0.0,286,71,36.482547998428345
breast_cancer_,4,Multivariate,0.6,273,0.0,286,71,42.074970960617065
breast_cancer_,4,Multivariate,0.8,364,0.0,169,43,45.806774854660034
breast_cancer_,4,Multivariate,1.0,455,0.0,286,71,85.79865097999573
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.05950593948364258
ecoli_,2,Univariate,0.2,53,0.0,67,20,0.8793590068817139
ecoli_,2,Univariate,0.4,107,0.0,50,16,2.22672700881958
ecoli_,2,Univariate,0.6,160,0.0,48,15,5.692730903625488
ecoli_,2,Univariate,0.8,214,0.0,47,15,7.741246223449707
ecoli_,2,Univariate,1.0,268,0.0,47,15,91.98393201828003
ecoli_,2,Multivariate,0.0,8,0.0,254,62,0.14805817604064941
ecoli_,2,Multivariate,0.2,53,0.0,254,62,1.7670581340789795
ecoli_,2,Multivariate,0.4,107,0.0,159,34,14.897876977920532
ecoli_,2,Multivariate,0.6,160,0.0,226,58,85.14112091064453
ecoli_,2,Multivariate,0.8,214,0.0,159,34,77.6670789718628
ecoli_,2,Multivariate,1.0,268,0.0,159,34,391.0640890598297
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.19333410263061523
ecoli_,3,Univariate,0.2,53,0.0,74,23,19.169800996780396
ecoli_,3,Univariate,0.4,107,0.0,37,12,108.33159112930298
ecoli_,3,Univariate,0.6,160,7.606320434099303,36,11,603.4871251583099
ecoli_,3,Univariate,0.8,214,17.621137611833674,40,11,600.1152679920197
ecoli_,3,Univariate,1.0,268,14.529908320552,34,10,600.1194519996643
ecoli_,3,Multivariate,0.0,8,0.0,159,34,2.7776989936828613
ecoli_,3,Multivariate,0.2,53,0.0,226,58,351.44164991378784
ecoli_,3,Multivariate,0.4,107,4.382468373518644,159,34,600.0426759719849
ecoli_,3,Multivariate,0.6,160,7.199997120001152,241,60,600.1280798912048
ecoli_,3,Multivariate,0.8,214,8.943085795493579,199,60,602.337867975235
ecoli_,3,Multivariate,1.0,268,8.943085795493579,199,60,600.4971859455109
ecoli_,4,Univariate,0.0,8,0.0,154,33,0.6985108852386475
ecoli_,4,Univariate,0.2,53,1.3080018885637854,61,19,600.0611188411713
ecoli_,4,Univariate,0.4,107,14.042547215937354,30,11,600.0716910362244
ecoli_,4,Univariate,0.6,160,15.02145278049237,34,12,600.1583800315857
ecoli_,4,Univariate,0.8,214,17.543851954450897,39,15,600.7336800098419
ecoli_,4,Univariate,1.0,268,14.529908320552,33,12,600.1527440547943
ecoli_,4,Multivariate,0.0,8,0.0,241,60,30.8303542137146
ecoli_,4,Multivariate,0.2,53,11.203314853396327,199,60,600.0873260498047
ecoli_,4,Multivariate,0.4,107,5.511808853618562,226,58,600.3062851428986
ecoli_,4,Multivariate,0.6,160,5.511808853618562,241,60,600.1481490135193
ecoli_,4,Multivariate,0.8,214,8.06451287721255,254,62,602.816342830658
ecoli_,4,Multivariate,1.0,268,4.687498168946028,199,60,600.1459259986877
