Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
wine,2,Multivariate,0.6,85,0.0,96,23,0.1069788932800293
wine,2,Multivariate,0.8,113,0.0,86,21,0.32061314582824707
wine,2,Multivariate,1.0,142,0.0,102,28,0.3413970470428467
wine,3,Univariate,0.0,3,0.0,57,15,0.025813817977905273
wine,3,Univariate,0.2,28,0.0,27,10,2.798676013946533
wine,3,Univariate,0.4,56,0.0,2,3,9.981837034225464
wine,3,Univariate,0.6,85,0.0,2,1,18.027233839035034
wine,3,Univariate,0.8,113,0.0,0,4,70.89093089103699
wine,3,Univariate,1.0,142,0.0,0,3,108.60868811607361
wine,3,Multivariate,0.0,3,0.0,86,21,0.10316109657287598
wine,3,Multivariate,0.2,28,0.0,96,23,0.8245570659637451
wine,3,Multivariate,0.4,56,0.0,102,28,0.6405248641967773
wine,3,Multivariate,0.6,85,0.0,102,28,0.921428918838501
wine,3,Multivariate,0.8,113,0.0,102,28,1.2493209838867188
wine,3,Multivariate,1.0,142,0.0,86,21,1.569638967514038
wine,4,Univariate,0.0,3,0.0,58,15,0.047445058822631836
wine,4,Univariate,0.2,28,0.0,10,7,6.6008100509643555
wine,4,Univariate,0.4,56,0.0,2,2,39.06897807121277
wine,4,Univariate,0.6,85,0.0,0,2,42.187597036361694
wine,4,Univariate,0.8,113,0.0,0,2,77.75023484230042
wine,4,Univariate,1.0,142,4.4117614619401015,6,4,120.10609292984009
wine,4,Multivariate,0.0,3,0.0,96,23,0.21984314918518066
wine,4,Multivariate,0.2,28,0.0,96,23,1.6480889320373535
wine,4,Multivariate,0.4,56,0.0,102,28,2.3931260108947754
wine,4,Multivariate,0.6,85,0.0,102,28,3.608757972717285
wine,4,Multivariate,0.8,113,0.0,96,23,2.942110061645508
wine,4,Multivariate,1.0,142,0.0,86,21,4.3928821086883545
breast_cancer_,2,Univariate,0.0,2,0.0,173,45,0.02204298973083496
breast_cancer_,2,Univariate,0.2,91,0.0,26,7,6.415015935897827
breast_cancer_,2,Univariate,0.4,182,0.0,21,7,29.044697999954224
breast_cancer_,2,Univariate,0.6,273,3.4251651245180263,22,5,120.05738687515259
breast_cancer_,2,Univariate,0.8,364,4.055366222055463,18,5,120.0550971031189
breast_cancer_,2,Univariate,1.0,455,4.1189921924503,18,6,120.07699394226074
breast_cancer_,2,Multivariate,0.0,2,0.0,169,43,0.2657289505004883
breast_cancer_,2,Multivariate,0.2,91,0.0,169,43,0.440047025680542
breast_cancer_,2,Multivariate,0.4,182,0.0,169,43,0.4583718776702881
breast_cancer_,2,Multivariate,0.6,273,0.0,286,71,1.292151927947998
breast_cancer_,2,Multivariate,0.8,364,0.0,169,43,3.3623249530792236
breast_cancer_,2,Multivariate,1.0,455,0.0,286,71,8.674813032150269
breast_cancer_,3,Univariate,0.0,2,0.0,356,90,0.06018805503845215
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,56.62996292114258
breast_cancer_,3,Univariate,0.4,182,15.040579256782372,25,7,120.10863280296326
breast_cancer_,3,Univariate,0.6,273,5.08083023537408,21,11,120.1720199584961
breast_cancer_,3,Univariate,0.8,364,6.308409741025762,22,8,120.12013101577759
breast_cancer_,3,Univariate,1.0,455,5.324072841649805,23,14,120.16552901268005
breast_cancer_,3,Multivariate,0.0,2,0.0,286,71,0.5894129276275635
breast_cancer_,3,Multivariate,0.2,91,0.0,169,43,0.9230599403381348
breast_cancer_,3,Multivariate,0.4,182,0.0,169,43,13.583760023117065
breast_cancer_,3,Multivariate,0.6,273,0.0,169,43,6.350998163223267
breast_cancer_,3,Multivariate,0.8,364,0.0,286,71,1.1422359943389893
breast_cancer_,3,Multivariate,1.0,455,0.0,286,71,17.00809907913208
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.12235093116760254
breast_cancer_,4,Univariate,0.2,91,32.26743248039754,34,13,120.08393216133118
breast_cancer_,4,Univariate,0.4,182,17.875643037398177,32,9,120.13766098022461
breast_cancer_,4,Univariate,0.6,273,7.058821868512502,27,9,120.60411787033081
breast_cancer_,4,Univariate,0.8,364,5.08083023537408,21,7,120.23072004318237
breast_cancer_,4,Univariate,1.0,455,6.557375513495196,26,12,120.66758298873901
breast_cancer_,4,Multivariate,0.0,2,0.0,169,43,1.6868000030517578
breast_cancer_,4,Multivariate,0.2,91,0.0,169,43,1.7135140895843506
