Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,1.8535652160644531
iris,2,Univariate,0.2,24,0.0,5,1,0.20521807670593262
iris,2,Univariate,0.4,48,0.0,5,1,0.31887006759643555
iris,2,Univariate,0.6,72,0.0,5,1,0.7011680603027344
iris,2,Univariate,0.8,96,0.0,5,1,1.5752198696136475
iris,2,Univariate,1.0,120,0.0,5,1,2.4273009300231934
iris,2,Multivariate,0.0,3,0.0,82,18,0.09145712852478027
iris,2,Multivariate,0.2,24,0.0,82,18,0.13777518272399902
iris,2,Multivariate,0.4,48,0.0,82,18,0.2700009346008301
iris,2,Multivariate,0.6,72,0.0,76,24,0.5111579895019531
iris,2,Multivariate,0.8,96,0.0,82,18,0.7156989574432373
iris,2,Multivariate,1.0,120,0.0,76,24,1.2929730415344238
iris,3,Univariate,0.0,3,0.0,38,12,0.023366928100585938
iris,3,Univariate,0.2,24,0.0,4,2,1.009627103805542
iris,3,Univariate,0.4,48,0.0,2,1,4.187971830368042
iris,3,Univariate,0.6,72,0.0,0,1,1.8753950595855713
iris,3,Univariate,0.8,96,0.0,0,1,5.185312986373901
iris,3,Univariate,1.0,120,0.0,0,3,13.675217151641846
iris,3,Multivariate,0.0,3,0.0,76,24,0.16062498092651367
iris,3,Multivariate,0.2,24,0.0,82,18,0.6162068843841553
iris,3,Multivariate,0.4,48,0.0,82,18,0.3743879795074463
iris,3,Multivariate,0.6,72,0.0,82,18,0.9870500564575195
iris,3,Multivariate,0.8,96,0.0,82,18,0.9687991142272949
iris,3,Multivariate,1.0,120,0.0,82,18,0.9051220417022705
iris,4,Univariate,0.0,3,0.0,38,12,0.030488014221191406
iris,4,Univariate,0.2,24,0.0,3,3,6.306222915649414
iris,4,Univariate,0.4,48,0.0,2,2,2.468418836593628
iris,4,Univariate,0.6,72,0.0,0,1,10.714787006378174
iris,4,Univariate,0.8,96,0.0,0,1,17.115824937820435
iris,4,Univariate,1.0,120,0.0,0,1,39.88855695724487
iris,4,Multivariate,0.0,3,0.0,82,18,0.9840891361236572
iris,4,Multivariate,0.2,24,0.0,82,18,0.6623799800872803
iris,4,Multivariate,0.4,48,0.0,82,18,1.6156761646270752
iris,4,Multivariate,0.6,72,0.0,82,18,1.519963026046753
