Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
wine,2,Univariate,0.8,114,0.0,9,3,29.400893211364746,1
wine,2,Univariate,1.0,142,0.0,5,2,24.67909288406372,1
wine,2,Multivariate,0.0,3,0.0,102,28,0.05046200752258301,1
wine,2,Multivariate,0.2,28,0.0,102,28,0.3384559154510498,1
wine,2,Multivariate,0.4,56,0.0,96,23,0.30470705032348633,1
wine,2,Multivariate,0.6,86,0.0,86,21,0.27553582191467285,1
wine,2,Multivariate,0.8,114,0.0,102,28,0.3708360195159912,1
wine,2,Multivariate,1.0,142,0.0,96,23,0.39180707931518555,1
wine,3,Univariate,0.0,3,0.0,56,15,0.0271451473236084,1
wine,3,Univariate,0.2,28,0.0,9,3,13.368480920791626,1
wine,3,Univariate,0.4,56,10.07751156782049,11,3,30.049023866653442,1
wine,3,Univariate,0.6,86,9.230762130182976,8,2,30.032104015350342,1
wine,3,Univariate,0.8,114,4.4117614619401015,4,3,30.059021949768066,1
wine,3,Univariate,1.0,142,2.8985486242401275,4,1,30.097010850906372,1
wine,3,Multivariate,0.0,3,0.0,86,21,0.11067485809326172,1
wine,3,Multivariate,0.2,28,0.0,96,23,0.5501019954681396,1
wine,3,Multivariate,0.4,56,0.0,86,21,0.9411170482635498,1
wine,3,Multivariate,0.6,86,0.0,102,28,1.1536569595336914,1
wine,3,Multivariate,0.8,114,0.0,96,23,0.2580878734588623,1
wine,3,Multivariate,1.0,142,0.0,96,23,1.016427993774414,1
wine,4,Univariate,0.0,3,0.0,57,15,0.07161998748779297,1
wine,4,Univariate,0.2,28,19.999982608710773,6,1,30.050199031829834,1
wine,4,Univariate,0.4,56,20.33896581443575,14,4,30.050169944763184,1
wine,4,Univariate,0.6,86,4.4117614619401015,5,2,30.050832986831665,1
wine,4,Univariate,0.8,114,8.396940155007515,9,3,30.096481800079346,1
wine,4,Univariate,1.0,142,3.649632372531115,3,2,30.09055995941162,1
wine,4,Multivariate,0.0,3,0.0,96,23,0.21228504180908203,1
wine,4,Multivariate,0.2,28,0.0,96,23,1.8340599536895752,1
wine,4,Multivariate,0.4,56,0.0,86,21,2.100064992904663,1
wine,4,Multivariate,0.6,86,0.0,96,23,6.037601947784424,1
wine,4,Multivariate,0.8,114,0.0,102,28,3.379733085632324,1
wine,4,Multivariate,1.0,142,0.0,102,28,7.919811964035034,1
breast_cancer_,2,Univariate,0.0,2,0.0,192,50,0.005077838897705078,1
breast_cancer_,2,Univariate,0.2,91,8.978288297294926,34,9,30.01821208000183,1
breast_cancer_,2,Univariate,0.4,182,12.068962544590507,27,8,30.0331768989563,1
breast_cancer_,2,Univariate,0.6,273,10.705593502288686,24,7,30.03921604156494,1
breast_cancer_,2,Univariate,0.8,364,6.807510139082128,19,7,30.180835008621216,1
breast_cancer_,2,Univariate,1.0,455,6.557375513495196,28,6,30.06175994873047,1
breast_cancer_,2,Multivariate,0.0,2,0.0,169,43,0.2758011817932129,1
breast_cancer_,2,Multivariate,0.2,91,0.0,286,71,1.403670072555542,1
breast_cancer_,2,Multivariate,0.4,182,0.0,169,43,2.5193071365356445,1
breast_cancer_,2,Multivariate,0.6,273,0.0,286,71,1.1298599243164062,1
breast_cancer_,2,Multivariate,0.8,364,0.0,286,71,2.5873849391937256,1
breast_cancer_,2,Multivariate,1.0,455,0.0,286,71,7.526064157485962,1
breast_cancer_,3,Univariate,0.0,2,0.0,245,60,0.025431156158447266,1
breast_cancer_,3,Univariate,0.2,91,14.035084201733284,42,11,30.042429208755493,1
breast_cancer_,3,Univariate,0.4,182,10.436890670657604,27,5,30.069485902786255,1
breast_cancer_,3,Univariate,0.6,273,10.97560707912261,42,10,30.076092958450317,1
breast_cancer_,3,Univariate,0.8,364,5.08083023537408,18,6,30.18059492111206,1
breast_cancer_,3,Univariate,1.0,455,11.246941015417846,41,11,30.192816019058228,1
breast_cancer_,3,Multivariate,0.0,2,0.0,169,43,0.7383308410644531,1
breast_cancer_,3,Multivariate,0.2,91,1.7897087718772324,169,43,30.09928798675537,1
breast_cancer_,3,Multivariate,0.4,182,0.0,286,71,14.42562985420227,1
breast_cancer_,3,Multivariate,0.6,273,0.0,286,71,12.51594614982605,1
breast_cancer_,3,Multivariate,0.8,364,0.0,286,71,6.841210842132568,1
breast_cancer_,3,Multivariate,1.0,455,169.23066909427865,286,71,30.12346911430359,1
